Time,Symbol,LTP
15:13:32,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:34,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:36,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:37,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:39,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:40,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:42,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:44,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:45,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:47,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:49,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:50,MCX:CRUDEOILM25MAYFUT,5336.0
15:13:52,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:55,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:56,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:57,MCX:CRUDEOILM25MAYFUT,5337.0
15:13:59,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:01,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:03,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:06,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:08,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:11,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:13,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:14,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:16,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:17,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:19,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:20,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:22,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:24,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:26,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:28,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:29,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:31,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:32,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:33,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:35,MCX:CRUDEOILM25MAYFUT,5336.0
15:14:37,MCX:CRUDEOILM25MAYFUT,5335.0
15:14:38,MCX:CRUDEOILM25MAYFUT,5335.0
23:06:44,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:46,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:47,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:49,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:50,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:52,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:54,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:55,MCX:CRUDEOILM25MAYFUT,5381.0
23:06:59,MCX:CRUDEOILM25MAYFUT,5381.0
23:07:00,MCX:CRUDEOILM25MAYFUT,5381.0
23:07:02,MCX:CRUDEOILM25MAYFUT,5381.0
23:07:04,MCX:CRUDEOILM25MAYFUT,5382.0
23:07:05,MCX:CRUDEOILM25MAYFUT,5382.0
23:07:07,MCX:CRUDEOILM25MAYFUT,5382.0
23:07:09,MCX:CRUDEOILM25MAYFUT,5382.0
23:07:10,MCX:CRUDEOILM25MAYFUT,5382.0
23:07:13,MCX:CRUDEOILM25MAYFUT,5382.0
23:07:15,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:16,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:18,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:20,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:21,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:23,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:25,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:27,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:28,MCX:CRUDEOILM25MAYFUT,5383.0
23:07:30,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:32,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:33,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:35,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:35,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:37,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:39,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:41,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:42,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:44,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:46,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:47,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:48,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:50,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:51,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:53,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:54,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:56,MCX:CRUDEOILM25MAYFUT,5384.0
23:07:57,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:00,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:02,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:08,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:09,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:10,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:12,MCX:CRUDEOILM25MAYFUT,5384.0
